Name,Type,Address,Entity,Canton,Municipality,Latitude,Longitude,Phone,Email,Web address
Katolicki školski  centar - Osnovna škola Centar,Elementary,Mehmed paše Sokolovi?a 11,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.86108944,18.42247367,38733665521,,http://www.ksc-sarajevo.edu.ba
Me?unarodna njema?ka škola Sarajevo - Internationale Deutsche Schule Sarajevo,Elementary,Buka 13,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.8609328,18.4195447,38733560520,,http://idss.ba
Medjunarodna osnovna škola 'Richmond Park International Primary school',Elementary,Francuske revolucije bb,Federation Of Bosnia and Herzegovina,Canton Sarajevo,Ilidza,43.84802237,18.39425683,38733944140,,http://www.internationalschool.ba
OŠ 'Mehmed Handži?',Elementary,Lužani bb - Ilidža,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.82668649,18.30249309,38733626077,,http://www.osmh.edu.ba
OŠ '?ulistan',Elementary,Lješevo - Ilijaš,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.99147916,18.23356032,38733403321,,http://www.djulistan.edu.ba
OŠ 'Hadži?i',Elementary,Hadželi bb,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.8250786,18.20876595,38733408811,,http://oshadzici.edu.ba
OŠ '6.mart' Hadži?i,Elementary,An?elka Lažeti?a 5,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.82201123,18.19971085,38733420120,,http://www.os6mart.edu.ba
OŠ '9. maj' Hadži?i-Pazari?,Elementary,Bjelašni?ka 59,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.78887144,18.15194607,38733417527,,http://www.os9majpa.edu.ba
OŠ 'Al-Walidein-Gazzaz',Elementary,Hasiba Brankovi?a 2,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.83769589,18.3501023,38733235507,,http://www.osgazzaz.edu.ba
OŠ 'Aleksa Šanti?',Elementary,Branislava Nuši?a 95,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.83578825,18.33770513,38733456533,,http://www.osas.edu.ba
OŠ 'Alija Nametak',Elementary,Zaima Šarca 15,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.86530526,18.42203379,38733562297,,http://www.osansa.edu.ba
OŠ 'Avdo Smailovi?',Elementary,Adema Bu?e 63-b,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.86154971,18.36440384,38733619155,,http://www.osasmailovic.edu.ba
OŠ 'Behaudin Selmanovi?',Elementary,"Viteška 6, Briješ?e, Sarajevo",Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85783261,18.32325339,38733780020,,http://www.osbs.edu.ba
OŠ '?amil Sijari?',Elementary,Bra?e Muli? 16,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.83066481,18.3403337,38733544301,,http://www.oscsijaricsa.edu.ba
OŠ '?engi? Vila I',Elementary,Fetaha Be?irbegovi?a 2,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85148863,18.36882949,38733653759,,http://www.oscvila1.edu.ba
OŠ 'Džemaludin ?auševi?',Elementary,Prvomajska 24,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.84479578,18.35541844,38733611651,,http://www.oscausevic.edu.ba
OŠ 'Edhem Mulabdi?',Elementary,Konak 1,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85690427,18.43124986,38733236044,,http://www.osem.edu.ba
OŠ 'Fatima Guni?',Elementary,Nerkeza Smailagi?a 18,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.84387497,18.34545135,38733545181,,http://www.osfg.edu.ba
OŠ 'Grbavica II',Elementary,Behdžeta Muteveli?a bb,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.84978647,18.38928938,38733642642,,http://www.osgrbavica2.edu.ba
OŠ 'Grbavica I',Elementary,Grbavi?ka 14,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85241706,18.39707851,38733661278,,http://osgrbavica1.edu.ba
OŠ 'Hamdija Kreševljakovi?',Elementary,Carina 2,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.86221498,18.44324469,38733272720,,http://www.oshk.edu.ba
OŠ 'Hasan Kaimija',Elementary,Cicin han 93,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.84912107,18.41786027,38733559906,,http://www.oshkaimija.edu.ba
OŠ 'Hasan Kiki?',Elementary,Gorica 27,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.86076067,18.41036618,38733445137,,http://www.oshkikic.edu.ba
OŠ 'Hašim Spahi?' Ilijaš,Elementary,Krajiška bb,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.96020212,18.2681179,38733400996,,http://www.oshs.edu.ba
OŠ 'Hilmi ef. Šari?' Hadži?i-Tar?in,Elementary,Bratstva i jedinstva 38,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.79309236,18.09267998,38733428395,,http://www.oshilmi.edu.ba
OŠ 'Hrasno',Elementary,Porodice Ribar 2,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.84994896,18.38244438,38733647451,,http://www.oshrasno.edu.ba
OŠ 'Isa-beg Ishakovi?',Elementary,Kemala Kapetanovi?a 43,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85057566,18.38854909,38733652231,,http://www.isabeg.edu.ba
OŠ 'Isak Samokovlija',Elementary,Fra An?ela Zvizdovi?a 1,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85782101,18.40625703,38733212499,,http://www.osis.edu.ba
OŠ 'Izet Šabi?' Hotonj - Vogoš?a,Elementary,Donji Hotonj bb,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.89844902,18.37167263,38733481090,,http://www.osizetsabic.edu.ba
OŠ 'Kova?i?i',Elementary,Zagreba?ka 22a,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.8513571,18.39882731,38733615878,,http://www.oskovacici.edu.ba
OŠ 'Malta',Elementary,Marka Maruli?a 27,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85504753,18.37939739,38733613502,,http://www.osmalta.edu.ba
OŠ 'Mehmed beg Kapetanovi? Ljubušak',Elementary,Bra?e Begi? 19,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.86748654,18.40596199,38733220491,,http://www.osmbklj.edu.ba
OŠ 'Mehmedalija Mak Dizdar',Elementary,Žrtava fašizma 14,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.8465445,18.36530507,38733644897,,http://www.osmmdsa.edu.ba
OŠ 'Meša Selimovi?',Elementary,Geteova 16,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.84446305,18.35139513,38733543113,,http://www.osmssa.edu.ba
OŠ 'Mirsad Prnjavorac' - Vogoš?a,Elementary,Jošani?ka 51,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.90011886,18.34326267,38733430910,,http://www.osmp.edu.ba
OŠ 'Mula Mustafa Bašeskija',Elementary,Logavina 52,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.86263656,18.42804193,38733238151,,http://www.osmmbsa.edu.ba
OŠ 'Musa ?azim ?ati?',Elementary,?ekaluša 53,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.86345652,18.41543555,38733216567,,http://www.osmccsa.edu.ba
OŠ 'Mustafa Busuladži?',Elementary,Ahatovi?ka 41,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.88137679,18.28667879,38733629574,,http://www.osdobrosevici.edu.ba
OŠ 'Nafija Sarajli?',Elementary,Patriotske lige 57,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.87377855,18.41244757,38733209232,,http://www.osnsarajlic.edu.ba
OŠ 'Osman Nakaš',Elementary,Grada?a?ka 39,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.84860267,18.3716619,38733641287,,http://www.osonakas.edu.ba
OŠ 'Osman Nuri Hadži?',Elementary,Lava Tolstoja 6,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.82495266,18.3541739,38733460362,,http://www.osonh.edu.ba
OŠ 'Podlugovi' Ilijaš,Elementary,Žrtava genocida u Srebrenici 212,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.9690673,18.25951338,38733401017,,http://www.ospodlugovi.edu.ba
OŠ 'Pofali?i',Elementary,Ivanjska 1,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85965831,18.38947177,38733644163,,http://www.ospofalici.edu.ba
OŠ 'Porodice ef. Rami?' - Vogoš?a,Elementary,Nova cesta 62,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.92016109,18.31919789,38733430993,,http://www.osramic.edu.ba
OŠ 'Saburina',Elementary,Saburina 4,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.86371566,18.43593836,38733538340,,http://www.ossaburina.edu.ba
OŠ 'Safvet beg Bašagi?',Elementary,Gimnazijska 1,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85686172,18.42371285,38733205923,,http://www.ossbb.edu.ba
OŠ 'Šejh Muhamed ef. Hadžijamakovi?',Elementary,Iza Hrida 11,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85373618,18.43701124,38733532324,,http://www.ossmeh.edu.ba
OŠ 'Skender Kulenovi?',Elementary,Bulevar Mimar Sinana bb,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.82782428,18.34634185,38733451600,,http://www.os-sk.edu.ba
OŠ 'Sokolje',Elementary,Numan paše ?uprili?a do 17,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.86620254,18.3164835,38733765540,,http://www.ossokolje.edu.ba
OŠ 'Srednje' Ilijaš,Elementary,Srednje bb,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,44.00902137,18.43626022,38733489047,,http://www.ossrednje.edu.ba
OŠ 'Umihana ?uvidina',Elementary,Smaje Šikala 1,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85247122,18.3445394,38733541009,,http://www.osuc.edu.ba
OŠ 'Veleši?ki heroji',Elementary,Veleši?i 2,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.86809373,18.39685857,38733214598,,http://www.osvh.edu.ba
OŠ 'Vladislav Skari?',Elementary,Terezija 48,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85330679,18.40929866,38733212031,,http://www.osvs.edu.ba
OŠ 'Vrhbosna',Elementary,Baruthana 60,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.87716984,18.46026063,38733240100,,http://www.osvrhbosna.edu.ba
OŠ 'Zahid Baru?ija' - Vogoš?a,Elementary,Omladinska 14,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.8982944,18.34886312,38733432650,,http://www.oszb.edu.ba
OŠ 'Zaim Kolar' - Trnovo,Elementary,Dej?i?i,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.68646737,18.34131539,38733438001,,http://www.oszk.edu.ba
OŠ 'Zajko Deli?' - Vogoš?a,Elementary,Slatinski put 3,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.88432303,18.38522315,38733426830,,http://www.oszd.edu.ba
Osma osnovna škola 'Amer ?enanovi?' - Ilidža,Elementary,Ilirska 2 ,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.8229169,18.32060337,38733771316,,http://www.osmaosnovnail.edu.ba
Osnovna muzi?ka i baletska škola - Novo Sarajevo,Elementary,Kemala Kapetanovi?a 43,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85031647,18.38864565,38733651523,,http://www.osmbaletska.edu.ba
Osnovna muzi?ka škola  - Ilidža,Elementary,Josipa Slavenskog 24,Federation Of Bosnia and Herzegovina,Canton Sarajevo,Ilidza,43.83443391,18.30635548,38733623400,,http://www.muzickail.edu.ba
Osnovna muzi?ka škola 'Mladen Pozaji?',Elementary,Josipa Štadlera 1,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.8603236,18.42482328,38733212410,,http://www.omsmp.edu.ba
Osnovna škola 'Maarif',Elementary,,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.83717741,18.34920641,38762271004,,http://www.maarifschools.edu.ba
OŠ 'Silvije Strahimir Kranj?evi?',Elementary,Mehmed paše Sokolovi?a 2,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.8608651,18.4214437,38733219825,,http://www.ossskranjcevic.edu.ba
Peta osnovna škola  - Ilidža,Elementary,Umihane ?uvidine 58,Federation Of Bosnia and Herzegovina,Canton Sarajevo,Ilidza,43.81097958,18.31111908,38733515177,,http://www.ospeta.edu.ba
Privatna osnovna škola 'Bloom',Elementary,"Nalina 16, Stari Grad Sarajevo",Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85307856,18.44050884,38733207899,,http://www.bloom.edu.ba
Prva osnovna škola - Ilidža,Elementary,Mala aleja 15,Federation Of Bosnia and Herzegovina,Canton Sarajevo,Ilidza,43.81310091,18.28748345,38733639575,,http://www.osprvail.edu.ba
Quality Schools International - International School of Sarajevo (QSIS Sarajevo),Elementary,Omladinska 16,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.89812432,18.34923863,38733424450,,
Sedma osnovna škola - Ilidža,Elementary,Blažuj 118,Federation Of Bosnia and Herzegovina,Canton Sarajevo,Ilidza,43.84795273,18.24521184,38733761630,,http://www.sedma-osnovna.edu.ba
Šesta osnovna škola  - Ilidža,Elementary,Barska bb ,Federation Of Bosnia and Herzegovina,Canton Sarajevo,Ilidza,43.84762002,18.30562591,38733623405,,http://www.ossesta.edu.ba
Tre?a osnovna škola - Ilidža,Elementary,Nasihe Kapidži? Hadži? 1,Federation Of Bosnia and Herzegovina,Canton Sarajevo,Ilidza,43.83376834,18.30261111,38733638479,,http://www.trecaosnovna.edu.ba
Zavod  'Mjedenica',Elementary,Mjedenica 34,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.8554537,18.42464089,38733207963,,http://www.zamjed.edu.ba
OŠ 'Musa ?azim ?ati?',Elementary,Školska ulica 23,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.2040385,17.9067343,38732401106,,
Mak Dizdar,Elementary,?urukovi?a put 17,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.2033958,17.9190767,38732460348,,
OŠ 'Meša Selimovi?',Elementary,,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.1969917,17.9111923,38732408020,,
Arnauti,Elementary,,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.2011076,18.0509696,38732439021,,
Vladimir Nazor,Elementary,Sarajevska 20,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.195959,17.9084459,38732445210,,
Miroslav Krleza,Elementary,Travni?ka cesta 8,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.2008083,17.9003569,38732401536,,http://www.osmkze.com.ba/
Hasan Kikic - Tetovo,Elementary,Tetovska 391,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.2321035,17.8882179,38732460585,,
Skender Kulenovic,Elementary,Profesora M. ?auševi?a 1,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.1952676,17.9319063,38732426920,,
Alija Nametak - Pehare,Elementary,Ri?i?ki put,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.221499,17.91374,38732456156,,
Enver Colakovic - Janjici,Elementary,Sarajevska 210,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.158187,17.961556,38732453004,,
Hamza Humo - Babino,Elementary,Babino,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.235599,18.008291,38732436126,,
Camil Sijaric - Nemila,Elementary,Doglodska 7,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.332822,17.912249,38732465001,,http://oscsijaricsa.edu.ba/
Aleksa Santic - Perin Han,Elementary,Bistua Nuova 213,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.185641,17.96769,38732465035,,
Ahmed Muradbegovic - Stranjani,Elementary,Stranjani bb,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.230329,17.848248,38732434042,,
Osnovna muzicka skola,Elementary,Skolska 17,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.203211,17.905116,38732242307,,
Osnovna specijalna skola,Elementary,M. Tarabara 10,Federation Of Bosnia and Herzegovina,ZDK,Zenica,44.200381,17.907568,38732407985,,
Hamdija Kresevljakovic,Elementary,Ulica šehida b.b.,Federation Of Bosnia and Herzegovina,ZDK,Kakanj,44.123473,18.114953,38732552860,,
Resad Kadic - Brnjic,Elementary,Brnjic,Federation Of Bosnia and Herzegovina,ZDK,Kakanj,44.22844,18.104922,,,
Ahmed Muradbegovic,Elementary,,Federation Of Bosnia and Herzegovina,ZDK,Kakanj,44.23041,17.848149,38732434042,,
Mula Mustafa Baseskija,Elementary,Rudarska 19,Federation Of Bosnia and Herzegovina,ZDK,Kakanj,44.135864,18.125003,38732557440,,
Omer Music - Ricice,Elementary,Podbjelavi?i,Federation Of Bosnia and Herzegovina,ZDK,Kakanj,44.10133,18.150561,38732777118,,
15. April,Elementary,29. Novembra,Federation Of Bosnia and Herzegovina,ZDK,Kakanj,44.114436,18.108726,38732775443,,
Alija Nametak,Elementary,A.Bešlagi?a b.b.,Federation Of Bosnia and Herzegovina,ZDK,Žep?e,44.351857,17.991515,38732894291,,
Abdulvehab Ilhamija,Elementary,Zeljzno Polje,Federation Of Bosnia and Herzegovina,ZDK,Žep?e,44.405195,17.933023,38762670377,,
Zepce,Elementary,Stjepana Radica,Federation Of Bosnia and Herzegovina,ZDK,Žep?e,44.424381,18.03866,38762881724,,
Glazbena škola Katarina Kosa?a – Kotromani?,Elementary,Zagreba?ka,Federation Of Bosnia and Herzegovina,ZDK,Žep?e,44.426074,18.032024,38732880453,,
Prva osnovna škola - Zavidovici,Elementary,Safvet-bega Bašagi?a bb,Federation Of Bosnia and Herzegovina,ZDK,Zavidovi?i,44.437833,18.145461,38732878808,,
Druga osnovna škola - Zavidovici,Elementary,8. Marta,Federation Of Bosnia and Herzegovina,ZDK,Zavidovi?i,44.445782,18.143168,38732877728,,
Osnovna škola Kova?i,Elementary,Kovaci,Federation Of Bosnia and Herzegovina,ZDK,Zavidovi?i,44.4422,18.212264,38732871425,,
Vozu?a ,Elementary,Vozu?a ,Federation Of Bosnia and Herzegovina,ZDK,Zavidovi?i,44.379515,18.361034,38732856375,,
Hajdarevi?i,Elementary,Hajdarevi?i bb,Federation Of Bosnia and Herzegovina,ZDK,Zavidovi?i,44.469738,18.250745,38732465076,pkonak@bih.net.ba,
OŠ 'Gostovi?',Elementary,Gostovi? bb,Federation Of Bosnia and Herzegovina,ZDK,Zavidovi?i,44.418087,18.16544,38732465114,osgostovic@bih.net.ba,
Maglaj,Elementary,Aleja Ljiljana 11 ,Federation Of Bosnia and Herzegovina,ZDK,Maglaj,44.54442,18.09808,38732603465,,
Prva osnovna škola,Elementary,Aleja Ljiljana 46 ,Federation Of Bosnia and Herzegovina,ZDK,Maglaj,44.552342,18.100586,38732603386,,prvaosmaglaj.com.ba
Novi Šeher ,Elementary,Novi Šeher bb,Federation Of Bosnia and Herzegovina,ZDK,Maglaj,44.51285,18.025988,38732611803,,
Osnovna škola Mustafa Muli?,Elementary,Šije,Federation Of Bosnia and Herzegovina,ZDK,Tešanj,44.661939,18.070627,38732694004,,
Abdulvehab Ilhamija,Elementary,Kaloševi? ,Federation Of Bosnia and Herzegovina,ZDK,Tešanj,44.646225,17.905839,38732664178,,http://osaik.com.ba
Gazi Ferhat-beg,Elementary,Jablanica,Federation Of Bosnia and Herzegovina,ZDK,Tešanj,44.58722,18.022431,38732651087,,
9. Septembar,Elementary,Medakovo ,Federation Of Bosnia and Herzegovina,ZDK,Tešanj,44.637972,18.015077,38732662094,,
Rešad Kadi?,Elementary,Novo naselje ,Federation Of Bosnia and Herzegovina,ZDK,Tešanj,44.620045,17.986338,38732650274,,
1. Mart,Elementary,Jelah,Federation Of Bosnia and Herzegovina,ZDK,Tešanj,44.654262,17.962843,38732663210,,
Kulin Ban,Elementary,Tešanjka ,Federation Of Bosnia and Herzegovina,ZDK,Tešanj,44.672561,18.011593,38732662034,,
Džemal Bijedi?,Elementary,Miljanovci,Federation Of Bosnia and Herzegovina,ZDK,Tešanj,44.686158,17.929884,38732668888,,
Huso Hodži?,Elementary,Bra?e Pobri?,Federation Of Bosnia and Herzegovina,ZDK,Tešanj,44.608966,17.987963,38732656290,,
21. Mart,Elementary,Matuzi?i,Federation Of Bosnia and Herzegovina,ZDK,Doboj Jug,44.69649,18.048945,38732691909,,
Safvet-beg Bašagi?,Elementary,Donja Mahala 42,Federation Of Bosnia and Herzegovina,ZDK,Visoko,43.990358,18.177246,38732738423,,
Kulin Ban,Elementary,Gornje Rosulje 1,Federation Of Bosnia and Herzegovina,ZDK,Visoko,43.988052,18.176903,38732731050,,
Mula Mustafa Baseskija,Elementary,Donje Moštre,Federation Of Bosnia and Herzegovina,ZDK,Visoko,44.02354,18.131581,38732740987,,
Musa ?azim ?ati? ,Elementary,Veliko ?ajno,Federation Of Bosnia and Herzegovina,ZDK,Visoko,44.024401,18.201443,38732745815,,
Mehmedalija Mak Dzidar,Elementary,Dobrinje,Federation Of Bosnia and Herzegovina,ZDK,Visoko,44.049924,18.112573,38732748008,,
Avdo Smajlovi?,Elementary,Islamovi?a 6,Federation Of Bosnia and Herzegovina,ZDK,Visoko,43.990383,18.177623,38732738790,,
Alija Nametak,Elementary,Buci 74 ,Federation Of Bosnia and Herzegovina,ZDK,Visoko,43.961375,18.182033,38732720147,,
Safvet-beg Bašagi?,Elementary,Branilaca grada b.b.,Federation Of Bosnia and Herzegovina,ZDK,Breza,44.010181,18.255998,38732789030,,
Enver ?olakovi?,Elementary,Šehidska broj 32,Federation Of Bosnia and Herzegovina,ZDK,Breza,44.022596,18.265688,38732789350,,
Vareš ,Elementary,?ure ?akovi?a 50 ,Federation Of Bosnia and Herzegovina,ZDK,Vareš ,44.161919,18.325906,38732849250,,http://www.os-vares.com.ba/
Vareš Majdan,Elementary,Josipa ?upke 16,Federation Of Bosnia and Herzegovina,ZDK,Vareš ,44.137344,18.316105,38732843018,,
Olovo,Elementary,Prvomajska b.b.,Federation Of Bosnia and Herzegovina,ZDK,Olovo,44.129766,18.582563,38732825163,,
Hasan Kikic,Elementary,Solun,Federation Of Bosnia and Herzegovina,ZDK,Olovo,44.167008,18.543115,38732827002,,
Ivan fra Frano Juki?,Elementary,,Federation Of Bosnia and Herzegovina,ZDK,Usora,44.70012,17.976879,38732895272,,
Mustafa Ejubovi? - Šejh Jujo,Elementary,Šehovina bb,Federation Of Bosnia and Herzegovina,HNK,Mostar,43.332659,17.823106,38736576765,,https://modos.ba/
IV osnovna škola,Elementary,S.Šesti?a 23,Federation Of Bosnia and Herzegovina,HNK,Mostar,43.343524,17.815535,38736551463,,
VI osnovna škola,Elementary,A.Šanti?a 10,Federation Of Bosnia and Herzegovina,HNK,Mostar,43.344907,17.809512,38736580288,,
O.Š. Mujaga Komadina,Elementary,G.Vukovi?a 9,Federation Of Bosnia and Herzegovina,HNK,Mostar,43.334056,17.815334,38736578217,,
Centar za dje. i omla.sa pos.potr.Los Rosales,Elementary,Južni logor,Federation Of Bosnia and Herzegovina,HNK,Mostar,43.32435,17.823066,38736556581,,http://www.los-rosales.com/
Osnovna škola Blagaj - Mostar,Elementary,Blagaj bb,Federation Of Bosnia and Herzegovina,HNK,,43.258782,17.88797,38736572479,,
Osnovna škola Gnojnice - Mostar,Elementary,Gnojnice bb,Federation Of Bosnia and Herzegovina,HNK,,43.302486,17.844604,38736584598,,
O.Š. Omer Maksumi?-Podveležje-Mostar,Elementary,Podveležje bb,Federation Of Bosnia and Herzegovina,HNK,,43.308737,17.91155,38736560291,,
Osnovna škola Zalik - Mostar,Elementary,Sjeverni logor bb,Federation Of Bosnia and Herzegovina,HNK,,43.357502,17.812034,38736571113,,http://oszalik.com.ba/
Osnovna škola Vrap?i?i - Mostar,Elementary,Vrap?i?i bb,Federation Of Bosnia and Herzegovina,HNK,,43.373499,17.850007,38736582162,,
O.Š.Bijelo Polje - Potoci - Mostar,Elementary,Potoci bb,Federation Of Bosnia and Herzegovina,HNK,,43.401493,17.888932,38736556841,,
Osnovna škola Drežnica - Mostar,Elementary,Drežnica bb,Federation Of Bosnia and Herzegovina,HNK,,43.525465,17.715817,38736586235,,
O.Š.Suljo ?ili? - Jablanica,Elementary,Bokulja 28,Federation Of Bosnia and Herzegovina,HNK,,43.662493,17.756499,38736752801,,http://www.suljocilic.com.ba/
O.Š. Alija Isakovi? - Prozor,Elementary,Prozor bb,Federation Of Bosnia and Herzegovina,HNK,,43.820266,17.611894,38736770513,,
Prva osnovna škola - Konjic,Elementary,3. Mart,Federation Of Bosnia and Herzegovina,HNK,Konjic,43.654491,17.954709,38736734031,,
Druga osnovna škola - Konjic,Elementary,Musala bb,Federation Of Bosnia and Herzegovina,HNK,Konjic,43.650867,17.964467,38736726192,,
Osnovna škola ?elebi?i - Konjic,Elementary,?elebi?i bb,Federation Of Bosnia and Herzegovina,HNK,Konjic,43.684325,17.897218,38736721464,,
Osnovna škola Parsovi?i - Konjic,Elementary,Parsovi?i bb Polje,Federation Of Bosnia and Herzegovina,HNK,Konjic,43.770805,17.813957,38736741197,,
Osnovna škola Š?ipe - Prozor-Rama,Elementary,Š?ipe bb Polje,Federation Of Bosnia and Herzegovina,HNK,,43.82441,17.743661,38736285106,,
Osnovna škola Seonica - Konjic,Elementary,Seonica bb Polje,Federation Of Bosnia and Herzegovina,HNK,Konjic,43.738777,17.84135,38736742457,,
Osnovna škola Glavati?evo - Konjic,Elementary,Glavati?evo bb,Federation Of Bosnia and Herzegovina,HNK,Konjic,43.503452,18.104726,38736739044,,
Osnovna škola ?apljina - ?apljina,Elementary,Petra Krešimira IV,Federation Of Bosnia and Herzegovina,HNK,,43.111055,17.701448,38736806275,,
